Size,Area Type,City,Furnishing Status,Tenant Preferred,BHK,Bathroom,Rent
1100.00,1.00,1.00,3.00,2.00,2.00,2.00,10000.00
800.00,1.00,1.00,2.00,2.00,2.00,1.00,20000.00
1000.00,1.00,1.00,2.00,2.00,2.00,1.00,17000.00
800.00,1.00,1.00,3.00,2.00,2.00,1.00,10000.00
850.00,2.00,1.00,3.00,1.00,2.00,1.00,7500.00
600.00,1.00,1.00,3.00,2.00,2.00,2.00,7000.00
700.00,1.00,1.00,3.00,1.00,2.00,2.00,10000.00
250.00,1.00,1.00,3.00,1.00,1.00,1.00,5000.00
800.00,2.00,1.00,3.00,1.00,2.00,2.00,26000.00
1000.00,2.00,1.00,2.00,2.00,2.00,2.00,10000.00
1200.00,2.00,1.00,2.00,2.00,3.00,2.00,25000.00
400.00,2.00,1.00,3.00,2.00,1.00,1.00,5000.00
250.00,2.00,1.00,1.00,1.00,1.00,1.00,6500.00
375.00,2.00,1.00,3.00,2.00,1.00,1.00,5500.00
900.00,2.00,1.00,3.00,1.00,3.00,2.00,8500.00
1286.00,2.00,1.00,1.00,2.00,3.00,2.00,40000.00
600.00,1.00,1.00,2.00,2.00,2.00,1.00,6000.00
800.00,1.00,1.00,3.00,2.00,2.00,1.00,10000.00
2000.00,2.00,1.00,3.00,2.00,2.00,1.00,11000.00
660.00,1.00,1.00,3.00,2.00,2.00,1.00,6000.00
650.00,2.00,1.00,3.00,3.00,2.00,1.00,7900.00
400.00,2.00,1.00,3.00,1.00,2.00,2.00,9000.00
300.00,2.00,1.00,3.00,2.00,1.00,1.00,4000.00
1600.00,1.00,1.00,3.00,2.00,3.00,1.00,6500.00
400.00,1.00,1.00,2.00,1.00,1.00,1.00,8000.00
1000.00,1.00,1.00,3.00,2.00,2.00,1.00,7000.00
355.00,2.00,1.00,2.00,2.00,1.00,1.00,5300.00
1000.00,1.00,1.00,2.00,2.00,2.00,1.00,6000.00
800.00,1.00,1.00,3.00,2.00,2.00,1.00,8500.00
